id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
14738,6569.0,360.0,17.0,Kootenay,WHL,1992-07-01,"Wolseley, SK  CAN",CAN,5348.0,2010-06-26,57,2010,22,Drew,74.0,Czerwonka,,166,16,8475877.0,Drew Czerwonka,LW,N,,6,L,N,OTT-EDM,EDM,194.0
14739,6723.0,148.0,18.0,Chilliwack,WHL,1992-01-29,"Drumheller, AB  CAN",CAN,23295.0,2010-06-26,57,2010,12,Tyler,73.0,Stahl,,167,17,8475867.0,Tyler Stahl,D,N,,6,R,N,COL-CAR,CAR,196.0
14740,7286.0,346.0,19.0,Indiana,USHL,1990-07-15,"Island Park, NY  USA",USA,1867.0,2010-06-26,57,2010,18,Anthony,73.0,Bitetto,,168,18,8475868.0,Anthony Bitetto,D,N,,6,L,N,NSH,NSH,210.0
14741,6836.0,261.0,18.0,Timra Jr.,SWEDEN-JR.,1991-10-08,"Stockholm, Sweden",SWE,18715.0,2010-06-26,57,2010,11,Sebastian,75.0,Owuya,,169,19,8475866.0,Sebastian Owuya,D,N,,6,L,N,LAK-ATL,ATL,195.0
14742,6632.0,58.0,18.0,London,OHL,1992-04-29,"London, ON  CAN",CAN,16552.0,2010-06-26,57,2010,5,Reid,75.0,McNeill,,170,20,8475872.0,Reid McNeill,D,N,,6,L,N,PIT,PIT,191.0
14743,6616.0,42.0,18.0,Tri-City,WHL,1992-05-15,"Winnipeg, MB  CAN",CAN,14974.0,2010-06-26,57,2010,17,Brooks,71.0,Macek,,171,21,8475804.0,Brooks Macek,C,N,,6,R,N,DET,DET,180.0
14744,7087.0,147.0,19.0,Niagara,OHL,1991-01-30,"St. Catharines, ON  CAN",CAN,8207.0,2010-06-26,57,2010,23,Alex,69.0,Friesen,,172,22,8475836.0,Alex Friesen,C,N,,6,L,N,PHX-VAN,VAN,186.0
14745,6742.0,167.0,18.0,Val d'Or,QMJHL,1992-01-10,"Val D'or, QC  CAN",CAN,10524.0,2010-06-26,57,2010,7,Cedrick,77.0,Henley,,173,23,8475874.0,Cedrick Henley,LW,N,,6,L,N,BUF,BUF,195.0
14746,6752.0,177.0,18.0,Gatineau,QMJHL,1991-12-31,"Montreal, QC  CAN",CAN,4381.0,2010-06-26,57,2010,1,Maxime,73.0,Clermont,,174,24,8475805.0,Maxime Clermont,G,N,,6,L,N,NJD,NJD,195.0
14747,6634.0,60.0,18.0,Blues Jr.,Finland Jr.,1992-04-27,"Vaasa, Finland",FIN,34814.0,2010-06-26,57,2010,23,Jonathan,72.0,Iilahti,,175,25,8475909.0,Jonathan Iilahti,G,N,,6,L,N,VAN,VAN,167.0
14748,6633.0,59.0,18.0,Lewiston,QMJHL,1992-04-28,"Laval, QC  CAN",CAN,3681.0,2010-06-26,57,2010,15,Samuel,73.0,Carrier,,176,26,8475912.0,Samuel Carrier,D,N,,6,R,N,WSH,WSH,186.0
14749,6661.0,87.0,18.0,Chicago,USHL,1992-03-31,"Homer Glen, IL  USA",USA,14441.0,2010-06-26,57,2010,24,Kevin,75.0,Lind,,177,27,8475914.0,Kevin Lind,D,N,,6,L,N,MTL-PIT-ANA,ANA,202.0
14750,6618.0,44.0,18.0,Brandon,WHL,1992-05-13,"Winnipeg, MB  CAN",CAN,23608.0,2010-06-26,57,2010,9,Mark,74.0,Stone,,178,28,8475913.0,Mark Stone,RW,N,,6,R,N,SJS-DAL-OTT,OTT,188.0
14751,6784.0,209.0,18.0,The Gunnery,HIGH-CT,1991-11-29,"West Chester, PA  USA",USA,14812.0,2010-06-26,57,2010,4,Nick,74.0,Luukko,,179,29,8475915.0,Nick Luukko,D,N,,6,R,N,PHI,PHI,180.0
14752,6819.0,244.0,18.0,Indiana,USHL,1991-10-25,"Salem, OR  USA",USA,15822.0,2010-06-26,57,2010,16,Nick,73.0,Mattson,,180,30,8475911.0,Nick Mattson,D,N,,6,L,N,CHI,CHI,189.0
14753,6499.0,290.0,17.0,Dynamo Jr.,BLR JR.,1992-09-09,"Preili, Latvia",LVA,19213.0,2010-06-26,57,2010,22,Kristians,71.0,Pelss,,181,1,8475916.0,Kristians Pelss,F,N,,7,L,N,EDM,EDM,175.0
14754,6634.0,60.0,18.0,Saskatoon,WHL,1992-04-27,"Richmond, BC  CAN",CAN,18046.0,2010-06-26,57,2010,10,Josh,74.0,Nicholls,,182,2,8475882.0,Josh Nicholls,RW,N,,7,R,N,TOR,TOR,174.0
14755,7079.0,139.0,19.0,Cushing Academy,HIGH-MA,1991-02-07,"Sarasota, FL  USA",USA,2520.0,2010-06-26,57,2010,13,Ronald,74.0,Boyd,,183,3,8475881.0,Ronald Boyd,D,N,,7,L,N,FLA,FLA,175.0
14756,6753.0,178.0,18.0,Kimball Union Academy,HIGH-NH,1991-12-30,"Saint-Jerome, QC  CAN",CAN,18660.0,2010-06-26,57,2010,29,Martin,73.0,Ouellette,,184,4,8475910.0,Martin Ouellette,G,N,,7,L,N,CBJ,CBJ,160.0
14757,7212.0,272.0,19.0,Clarkson U.,ECAC,1990-09-27,"Kingston, ON  CAN",CAN,21097.0,2010-06-26,57,2010,2,Cody,71.0,Rosen,,185,5,8475880.0,Cody Rosen,G,N,,7,L,N,NYI,NYI,180.0
14758,7478.0,173.0,20.0,Saskatoon,WHL,1990-01-04,"Regina, SK  CAN",CAN,26746.0,2010-06-26,57,2010,14,Teigan,73.0,Zahn,,186,6,8474695.0,Teigan Zahn,D,N,,7,L,N,TBL,TBL,218.0
14759,7572.0,267.0,20.0,Frederikshavn,DENMARK,1989-10-02,"Herning, Denmark",DNK,93577.0,2010-06-26,57,2010,12,Frederik,76.0,Andersen,,187,7,8475883.0,Frederik Andersen,G,Y,Unsigned,7,L,N,CAR,CAR,220.0
14760,7241.0,301.0,19.0,U. of Michigan,CCHA,1990-08-29,"Wallingford, CT  USA",USA,17156.0,2010-06-26,57,2010,28,Lee,73.0,Moffie,,188,8,8475888.0,Lee Moffie,D,N,,7,L,N,ATL-SJS,SJS,205.0
14761,6641.0,67.0,18.0,Chilliwack,WHL,1992-04-20,"Langley, BC  CAN",CAN,16382.0,2010-06-26,57,2010,30,Dylen,71.0,McKinlay,,189,9,8475886.0,Dylen McKinlay,RW,N,,7,L,N,MIN,MIN,162.0
14762,7265.0,325.0,19.0,Saskatoon,WHL,1990-08-05,"Nanaimo, BC  CAN",CAN,16541.0,2010-06-26,57,2010,3,Randy,76.0,McNaught,,190,10,8475887.0,Randy McNaught,RW,N,,7,R,N,NYR,NYR,217.0
14763,6667.0,93.0,18.0,Portland,WHL,1992-03-25,"Salt Lake City, UT  USA",USA,3702.0,2010-06-26,57,2010,16,Mac,74.0,Carruth,,191,11,8475879.0,Mac Carruth,G,N,,7,L,N,DAL-CHI,CHI,169.0
14764,7317.0,12.0,20.0,Michigan State U.,CCHA,1990-06-14,"Sault Ste. Marie, ON  CAN",CAN,19302.0,2010-06-26,57,2010,24,Brett,74.0,Perlini,,192,12,8475885.0,Brett Perlini,RW,N,,7,R,N,ANA,ANA,200.0
14765,6745.0,170.0,18.0,Tri-City,WHL,1992-01-07,"Lethbridge, AB  CAN",CAN,10900.0,2010-06-26,57,2010,20,Patrick,72.0,Holland,,193,13,8475889.0,Patrick Holland,RW,N,,7,R,N,CGY,CGY,167.0
14766,6670.0,96.0,18.0,Landshut Cann.,GERMAN-2,1992-03-22,"Landshut, Germany",DEU,31314.0,2010-06-26,57,2010,18,David,72.0,Elsner,,194,14,8475891.0,David Elsner,LW/RW,N,,7,L,N,STL-NSH,NSH,185.0
14767,7398.0,93.0,20.0,Cherepovets,RUSSIA,1990-03-25,"Cherepovets, Russia",RUS,30145.0,2010-06-26,57,2010,6,Maxim,71.0,Chudinov,,195,15,8475892.0,Maxim Chudinov,D,N,,7,R,N,BOS,BOS,187.0
14768,7365.0,60.0,20.0,Cedar Rapids,USHL,1990-04-27,"Pekin, IL  USA",USA,404.0,2010-06-26,57,2010,9,Bryce,74.0,Aneloski,,196,16,8475894.0,Bryce Aneloski,D,N,,7,R,N,OTT,OTT,197.0
14769,6589.0,15.0,18.0,USA U-18,USHL,1992-06-11,"Scottsdale, AZ  USA",USA,17149.0,2010-06-26,57,2010,21,Luke,73.0,Moffatt,,197,17,8475884.0,Luke Moffatt,C,N,,7,R,N,COL,COL,187.0
14770,7399.0,94.0,20.0,Ilves,FINLAND,1990-03-24,"Savonlinna, Finland",FIN,44980.0,2010-06-26,57,2010,18,Joonas,71.0,Rask,,198,18,8475893.0,Joonas Rask,C,N,,7,R,N,NSH,NSH,168.0
14771,6556.0,347.0,17.0,Winnipeg South,MJHL,1992-07-14,"Winnipeg, MB  CAN",CAN,23640.0,2010-06-26,57,2010,11,Peter,74.0,Stoykewych,,199,19,8475895.0,Peter Stoykewych,D,N,,7,L,N,LAK-ATL,ATL,190.0
14772,6781.0,206.0,18.0,Green Bay,USHL,1991-12-02,"Virginia Beach, VA  USA",USA,5074.0,2010-06-26,57,2010,28,Christopher,73.0,Crane,,200,20,8475890.0,Christopher Crane,RW,N,,7,R,N,PIT-SJS,SJS,185.0
14773,6509.0,300.0,17.0,Mahtomedi,HIGH-MN,1992-08-30,"St. Paul, MN  USA",USA,15561.0,2010-06-26,57,2010,17,Ben,69.0,Marshall,,201,21,8475897.0,Ben Marshall,D,N,,7,L,N,DET,DET,160.0
14774,7254.0,314.0,19.0,Vernon,BCHL,1990-08-16,"Montrose, BC  CAN",CAN,11983.0,2010-06-26,57,2010,22,Kellen,69.0,Jones,,202,22,8475900.0,Kellen Jones,F,N,,7,L,N,PHX-TOR-EDM,EDM,164.0
14775,6732.0,157.0,18.0,St. Thomas,HIGH-MN,1992-01-20,"Pine City, MN  USA",USA,11481.0,2010-06-26,57,2010,7,Christian,72.0,Isackson,,203,23,8475901.0,Christian Isackson,RW,N,,7,R,N,BUF,BUF,174.0
14776,7363.0,58.0,20.0,Lugano,SWISS,1990-04-29,"Chur, Switzerland",CHE,35659.0,2010-06-26,57,2010,1,Mauro,72.0,Jorg,,204,24,8475898.0,Mauro Jorg,RW,N,,7,L,N,NJD,NJD,192.0
14777,6502.0,293.0,17.0,Halifax,QMJHL,1992-09-06,"Moncton, NB  CAN",CAN,10008.0,2010-06-26,57,2010,23,Sawyer,76.0,Hannay,,205,25,8475899.0,Sawyer Hannay,D,N,,7,R,N,VAN,VAN,190.0
14778,6641.0,67.0,18.0,AIK Jr.,SWEDEN-JR.,1992-04-20,"Stockholm, Sweden",SWE,28951.0,2010-06-26,57,2010,4,Ricard,75.0,Blidstrand,,206,26,8475905.0,Ricard Blidstrand,D,N,,7,L,N,WSH-CAR-PHI,PHI,202.0
14779,6612.0,38.0,18.0,Modo Jr.,SWEDEN-JR.,1992-05-19,"Kramfors, Sweden",SWE,51275.0,2010-06-26,57,2010,8,John,72.0,Westin,,207,27,8475903.0,John Westin,LW,N,,7,L,N,MTL,MTL,183.0
14780,7066.0,126.0,19.0,Portland,WHL,1991-02-20,"Abbotsford, BC  CAN",CAN,2507.0,2010-06-26,57,2010,7,Riley,76.0,Boychuk,,208,28,8475904.0,Riley Boychuk,LW,N,,7,L,N,SJS-BUF,BUF,210.0
14781,6628.0,54.0,18.0,Kamloops,WHL,1992-05-03,"Edmonton, AB  CAN",CAN,20303.0,2010-06-26,57,2010,4,Brendan,70.0,Ranford,,209,29,8475896.0,Brendan Ranford,LW,N,,7,L,N,PHI,PHI,182.0
14782,7244.0,304.0,19.0,Lake Superior,CCHA,1990-08-26,"Carmel, IN  USA",USA,24754.0,2010-06-26,57,2010,6,Zach,75.0,Trotman,,210,30,8475902.0,Zach Trotman,D,N,,7,R,N,CHI-BOS,BOS,195.0
14814,6647.0,73.0,18.0,Red Deer,WHL,1993-04-12,"Burnaby, BC  CAN",CAN,18260.0,2011-06-24,58,2011,22,Ryan,72.0,Nugent-Hopkins,,1,1,8476454.0,Ryan Nugent-Hopkins,C,N,,1,L,N,EDM,EDM,171.0
14815,6787.0,213.0,18.0,Kitchener,OHL,1992-11-23,"Stockholm, Sweden",SWE,13506.0,2011-06-24,58,2011,21,Gabriel,73.0,Landeskog,,2,2,8476455.0,Gabriel Landeskog,LW,N,,1,L,N,COL,COL,204.0
14816,6594.0,20.0,18.0,Saint John,QMJHL,1993-06-04,"Saint-Jerome, QC  CAN",CAN,11177.0,2011-06-24,58,2011,13,Jonathan,73.0,Huberdeau,,3,3,8476456.0,Jonathan Huberdeau,C,N,,1,L,N,FLA,FLA,171.0
14817,6798.0,224.0,18.0,Skelleftea,SWEDEN,1992-11-12,"Skellefteå, Sweden",SWE,38902.0,2011-06-24,58,2011,1,Adam,75.0,Larsson,,4,4,8476457.0,Adam Larsson,D,N,,1,R,N,NJD,NJD,197.0
14818,6557.0,348.0,17.0,Niagara,OHL,1993-07-11,"Mississauga, ON  CAN",CAN,23676.0,2011-06-24,58,2011,2,Ryan,72.0,Strome,,5,5,8476458.0,Ryan Strome,C,N,,1,R,N,NYI,NYI,177.0
14819,6641.0,67.0,18.0,Djurgarden,SWEDEN,1993-04-18,"Huddinge, Sweden",SWE,52069.0,2011-06-24,58,2011,9,Mika,74.0,Zibanejad,,6,6,8476459.0,Mika Zibanejad,C,N,,1,R,N,OTT,OTT,195.0
14820,6675.0,101.0,18.0,Barrie,OHL,1993-03-15,"Kitchener, ON  CAN",CAN,21808.0,2011-06-24,58,2011,52,Mark,74.0,Scheifele,,7,7,8476460.0,Mark Scheifele,C,N,,1,R,N,WPG,WPG,184.0
14821,6773.0,199.0,18.0,Drummondville,QMJHL,1992-12-07,"Phoenix, AZ  USA",USA,4999.0,2011-06-24,58,2011,4,Sean,75.0,Couturier,,8,8,8476461.0,Sean Couturier,C,N,,1,L,N,CBJ-PHI,PHI,197.0
14822,6581.0,7.0,18.0,Niagara,OHL,1993-06-17,"Toronto, ON  CAN",CAN,9923.0,2011-06-24,58,2011,6,Dougie,77.0,Hamilton,,9,9,8476462.0,Dougie Hamilton,D,N,,1,R,N,TOR-BOS,BOS,193.0
14823,6556.0,347.0,17.0,Farjestad,SWEDEN,1993-07-12,"Karlstad, Sweden",SWE,29411.0,2011-06-24,58,2011,30,Jonas,73.0,Brodin,,10,10,8476463.0,Jonas Brodin,D,N,,1,L,N,MIN,MIN,166.0
14824,6499.0,290.0,17.0,Saskatoon,WHL,1993-09-07,"Edmonton, AB  CAN",CAN,22485.0,2011-06-24,58,2011,21,Duncan,75.0,Siemens,,11,11,8476464.0,Duncan Siemens,D,N,,1,L,N,STL-COL,COL,196.0
14825,6659.0,85.0,18.0,Kitchener,OHL,1993-03-31,"Aurora, ON  CAN",CAN,17708.0,2011-06-24,58,2011,12,Ryan,71.0,Murphy,,12,12,8476465.0,Ryan Murphy,D,N,,1,R,N,CAR,CAR,170.0
14826,6836.0,262.0,18.0,Portland,WHL,1992-10-05,"Bern, Switzerland",CHE,759.0,2011-06-24,58,2011,20,Sven,70.0,Baertschi,,13,13,8476466.0,Sven Baertschi,LW,N,,1,L,N,CGY,CGY,181.0
14827,6759.0,185.0,18.0,Northeastern U.,H-EAST,1992-12-21,"Toronto, ON  CAN",CAN,18472.0,2011-06-24,58,2011,25,Jamie,79.0,Oleksiak,,14,14,8476467.0,Jamie Oleksiak,D,N,,1,L,N,DAL,DAL,241.0
14828,6676.0,102.0,18.0,USA U-18,USHL,1993-03-14,"East Palestine, OH  USA",USA,16946.0,2011-06-24,58,2011,3,J.T.,73.0,Miller,,15,15,8476468.0,J.T. Miller,C,N,,1,L,N,NYR,NYR,189.0
14829,6598.0,24.0,18.0,Assat,FINLAND,1993-05-31,"Pori, Finland",FIN,27761.0,2011-06-24,58,2011,7,Joel,75.0,Armia,,16,16,8476469.0,Joel Armia,RW,N,,1,R,N,BUF,BUF,192.0
14830,6775.0,201.0,18.0,Saint John,QMJHL,1992-12-05,"Strathroy, ON  CAN",CAN,1280.0,2011-06-24,58,2011,8,Nathan,73.0,Beaulieu,,17,17,8476470.0,Nathan Beaulieu,D,N,,1,L,N,MTL,MTL,179.0
14831,6696.0,122.0,18.0,Prince Albert,WHL,1993-02-22,"Langley, BC  CAN",CAN,16550.0,2011-06-24,58,2011,16,Mark,73.0,McNeill,,18,18,8476471.0,Mark McNeill,C,N,,1,R,N,CHI,CHI,211.0
14832,6548.0,339.0,17.0,Farjestad,SWEDEN,1993-07-20,"Karlstad, Sweden",SWE,36869.0,2011-06-24,58,2011,22,Oscar,75.0,Klefbom,,19,19,8476472.0,Oscar Klefbom,D,N,,1,L,N,LAK-EDM,EDM,204.0
14833,6664.0,90.0,18.0,USA U-18,USHL,1993-03-26,"Dublin, OH  USA",USA,17685.0,2011-06-24,58,2011,27,Connor,75.0,Murphy,,20,20,8476473.0,Connor Murphy,D,N,,1,R,N,PHX,PHX,190.0
14834,6706.0,132.0,18.0,Plymouth,OHL,1993-02-12,"Plano, TX  USA",USA,18162.0,2011-06-24,58,2011,9,Stefan,72.0,Noesen,,21,21,8476474.0,Stefan Noesen,RW,N,,1,R,N,NSH-OTT,OTT,187.0
14835,6629.0,55.0,18.0,USA U-18,USHL,1993-04-30,"Binghamton, NY  USA",USA,1772.0,2011-06-24,58,2011,10,Tyler,74.0,Biggs,,22,22,8476475.0,Tyler Biggs,RW,N,,1,R,N,ANA-TOR,TOR,205.0
14836,6771.0,197.0,18.0,Portland,WHL,1992-12-09,"Edmonton, AB  CAN",CAN,17487.0,2011-06-24,58,2011,5,Joe,72.0,Morrow,,23,23,8476476.0,Joe Morrow,D,N,,1,L,N,PIT,PIT,199.0
14837,6725.0,151.0,18.0,Peterborough,OHL,1993-01-24,"Windsor, ON  CAN",CAN,20105.0,2011-06-24,58,2011,9,Matt,72.0,Puempel,,24,24,8476477.0,Matt Puempel,LW,N,,1,L,N,DET-OTT,OTT,198.0
14838,6611.0,37.0,18.0,Mississauga St. Michael's,OHL,1993-05-18,"Oakville, ON  CAN",CAN,19274.0,2011-06-24,58,2011,10,Stuart,73.0,Percy,,25,25,8476478.0,Stuart Percy,D,N,,1,L,N,PHI-TOR,TOR,187.0
14839,6694.0,120.0,18.0,Victoriaville,QMJHL,1993-02-24,"Victoriaville, QC  CAN",CAN,5488.0,2011-06-24,58,2011,16,Phillip,72.0,Danault,,26,26,8476479.0,Phillip Danault,LW,N,,1,L,N,WSH-CHI,CHI,181.0
14840,6788.0,214.0,18.0,London,OHL,1992-11-22,"Zhukovskiy, Russia",RUS,17845.0,2011-06-24,58,2011,14,Vladislav,71.0,Namestnikov,,27,27,8476480.0,Vladislav Namestnikov,C,N,,1,L,N,TBL,TBL,171.0
14841,6813.0,239.0,18.0,Saint John,QMJHL,1992-10-28,"Fredericton, NB  CAN",CAN,19526.0,2011-06-24,58,2011,30,Zack,72.0,Phillips,,28,28,8476481.0,Zack Phillips,C,N,,1,R,N,SJS-MIN,MIN,175.0
14842,6684.0,110.0,18.0,Oshawa,OHL,1993-03-06,"Herning, Denmark",DNK,11734.0,2011-06-24,58,2011,23,Nicklas,74.0,Jensen,,29,29,8476482.0,Nicklas Jensen,LW/RW,N,,1,L,N,VAN,VAN,202.0
14843,6624.0,50.0,18.0,Plymouth,OHL,1993-05-05,"Sundbyberg, Sweden",SWE,20256.0,2011-06-24,58,2011,24,Rickard,72.0,Rakell,,30,30,8476483.0,Rickard Rakell,RW,N,,1,R,N,BOS-TOR-ANA,ANA,199.0
14844,6651.0,77.0,18.0,Vancouver,WHL,1993-04-09,"Calgary, AB  CAN",CAN,17766.0,2011-06-25,58,2011,22,David,75.0,Musil,,31,1,8476426.0,David Musil,D,N,,2,L,N,EDM,EDM,196.0
14845,6714.0,140.0,18.0,Portland,WHL,1993-02-05,"Calgary, AB  CAN",CAN,20345.0,2011-06-25,58,2011,19,Ty,71.0,Rattie,,32,2,8476427.0,Ty Rattie,RW,N,,2,R,N,COL-STL,STL,165.0
14846,6711.0,137.0,18.0,USA U-18,USHL,1993-02-08,"Anaheim, CA  USA",USA,9560.0,2011-06-25,58,2011,13,Rocco,66.0,Grimaldi,,33,3,8476428.0,Rocco Grimaldi,C,N,,2,R,N,FLA,FLA,160.0
14847,6828.0,254.0,18.0,Youngstown,USHL,1992-10-14,"St. Louis, MO  USA",USA,15869.0,2011-06-25,58,2011,2,Scott,76.0,Mayfield,,34,4,8476429.0,Scott Mayfield,D,N,,2,R,N,NYI,NYI,203.0
14848,6753.0,179.0,18.0,Saint John,QMJHL,1992-12-28,"Kosice, Slovakia",SVK,12096.0,2011-06-25,58,2011,17,Tomas,73.0,Jurco,,35,5,8476430.0,Tomas Jurco,RW,N,,2,L,N,OTT-DET,DET,191.0
14849,6816.0,242.0,18.0,Boston University,H-EAST,1992-10-26,"Niagara Falls, NY  USA",USA,4377.0,2011-06-25,58,2011,16,Adam,71.0,Clendening,,36,6,8476431.0,Adam Clendening,D,N,,2,R,N,WPG-CHI,CHI,187.0
14850,6584.0,10.0,18.0,Oshawa,OHL,1993-06-15,"Dorchester, ON  CAN",CAN,11711.0,2011-06-25,58,2011,29,Boone,73.0,Jenner,,37,7,8476432.0,Boone Jenner,C,N,,2,L,N,CBJ,CBJ,196.0
14851,7387.0,82.0,20.0,Almtuna,SWEDEN-2,1991-04-04,"Uppsala, Sweden",SWE,33912.0,2011-06-25,58,2011,18,Magnus,77.0,Hellberg,,38,8,8476433.0,Magnus Hellberg,G,N,,2,L,N,NJD-NSH,NSH,185.0
14852,6555.0,346.0,17.0,USA U-18,USHL,1993-07-14,"Pittsburgh, PA  USA",USA,8828.0,2011-06-25,58,2011,24,John,75.0,Gibson,,39,9,8476434.0,John Gibson,G,N,,2,L,N,TOR-ANA,ANA,206.0
14853,6498.0,289.0,17.0,Windsor,OHL,1993-09-09,"Moscow, Russia",RUS,12509.0,2011-06-25,58,2011,6,Alex,70.0,Khokhlachev,,40,10,8476435.0,Alex Khokhlachev,C/LW,N,,2,L,N,MIN-BOS,BOS,183.0
14854,6668.0,94.0,18.0,Slavia,Czech Republic,1993-03-23,"Omsk, Russia",RUS,35276.0,2011-06-25,58,2011,19,Dmitrij,74.0,Jaskin,,41,11,8476436.0,Dmitrij Jaskin,RW,N,,2,L,N,STL,STL,196.0
14855,6690.0,116.0,18.0,Leksand,SWEDEN-2,1993-03-01,"Leksand, Sweden",SWE,44983.0,2011-06-25,58,2011,12,Victor,73.0,Rask,,42,12,8476437.0,Victor Rask,C,N,,2,L,N,CAR,CAR,189.0
14856,6815.0,241.0,18.0,Saginaw,OHL,1992-10-27,"Pittsburgh, PA  USA",USA,21451.0,2011-06-25,58,2011,16,Brandon,73.0,Saad,,43,13,8476438.0,Brandon Saad,LW,N,,2,L,N,CGY-TOR-CHI,CHI,203.0
14857,6568.0,359.0,17.0,Sarnia,OHL,1993-07-01,"Orangeville, ON  CAN",CAN,20762.0,2011-06-25,58,2011,25,Brett,75.0,Ritchie,,44,14,8476439.0,Brett Ritchie,RW,N,,2,R,N,DAL,DAL,209.0
14858,6644.0,70.0,18.0,HIFK Jr.,Finland Jr.,1993-04-16,"Oulu, Finland",FIN,32876.0,2011-06-25,58,2011,20,Markus,71.0,Granlund,,45,15,8476440.0,Markus Granlund,C,N,,2,L,N,NYR-CGY,CGY,166.0
14859,6571.0,362.0,17.0,Moose Jaw,WHL,1993-06-28,"Brandon, MB  CAN",CAN,6919.0,2011-06-25,58,2011,19,Joel,77.0,Edmundson,,46,16,8476441.0,Joel Edmundson,D,N,,2,L,N,BUF-STL,STL,190.0
14860,6806.0,232.0,18.0,Boston University,H-EAST,1992-11-05,"Long Beach, CA  USA",USA,18102.0,2011-06-25,58,2011,28,Matt,71.0,Nieto,,47,17,8476442.0,Matt Nieto,LW,N,,2,L,N,MTL-FLA-SJS,SJS,177.0
14861,6540.0,331.0,17.0,Montreal,QMJHL,1993-07-29,"Bayonne, France",FRA,18677.0,2011-06-25,58,2011,17,Xavier,72.0,Ouellet,,48,18,8476443.0,Xavier Ouellet,D,N,,2,L,N,CHI-OTT-DET,DET,179.0
14862,6754.0,180.0,18.0,Chicoutimi,QMJHL,1992-12-27,"Karkkila, Finland",FIN,8824.0,2011-06-25,58,2011,26,Christopher,73.0,Gibson,,49,19,8476444.0,Christopher Gibson,G,N,,2,L,N,LAK,LAK,191.0
14863,6851.0,277.0,18.0,Frolunda,SWEDEN,1992-09-21,"Gothenburg, Sweden",SWE,48574.0,2011-06-25,58,2011,2,Johan,74.0,Sundstrom,David Fischer Compensatory Pick. (Unsigned 1st Round Draft Choice),50,20,8476445.0,Johan Sundstrom,C,N,,2,R,N,MTL-NYI,NYI,196.0
14864,6772.0,198.0,18.0,Jokerit Jr.,Finland Jr.,1992-12-09,"Chicago, IL  USA",USA,45670.0,2011-06-25,58,2011,27,Alexander,72.0,Ruuttu,,51,21,8476446.0,Alexander Ruuttu,C,N,,2,R,N,PHX,PHX,171.0
14865,6682.0,108.0,18.0,Karpat,FINLAND,1993-03-09,"Raahe, Finland",FIN,45981.0,2011-06-25,58,2011,18,Miikka,71.0,Salomaki,,52,22,8476447.0,Miikka Salomaki,RW,N,,2,L,N,NSH,NSH,198.0
14866,6742.0,168.0,18.0,Vasteras Jr.,SWEDEN-JR.,1993-01-08,"Marsta, Sweden",SWE,36255.0,2011-06-25,58,2011,24,William,72.0,Karlsson,,53,23,8476448.0,William Karlsson,C,N,,2,L,N,ANA,ANA,163.0
14867,6681.0,107.0,18.0,London,OHL,1993-03-10,"Kingston, ON  CAN",CAN,10135.0,2011-06-25,58,2011,5,Scott,73.0,Harrington,,54,24,8476449.0,Scott Harrington,D,N,,2,L,N,PIT,PIT,200.0
14868,6737.0,163.0,18.0,Sault Ste. Marie,OHL,1993-01-13,"Mississauga, ON  CAN",CAN,23241.0,2011-06-25,58,2011,17,Ryan,75.0,Sproul,,55,25,8476450.0,Ryan Sproul,D,N,,2,R,N,DET,DET,185.0
14869,6727.0,153.0,18.0,Oshawa,OHL,1993-01-23,"Maple, ON  CAN",CAN,14260.0,2011-06-25,58,2011,27,Lucas,73.0,Lessio,,56,26,8476451.0,Lucas Lessio,LW,N,,2,L,N,PHI-PHX,PHX,200.0
14870,6679.0,105.0,18.0,Portland,WHL,1993-03-12,"Burnaby, BC  CAN",CAN,26508.0,2011-06-25,58,2011,20,Tyler,73.0,Wotherspoon,,57,27,8476452.0,Tyler Wotherspoon,D,N,,2,L,N,WSH-CAR-NYR-CGY,CGY,196.0
14871,6582.0,8.0,18.0,CSKA 2,RUSSIA-JR.,1993-06-17,"Maykop, Russia",RUS,38272.0,2011-06-25,58,2011,14,Nikita,71.0,Kucherov,,58,28,8476453.0,Nikita Kucherov,LW/RW,N,,2,R,N,TBL,TBL,171.0
14872,6616.0,42.0,18.0,Rogle,SWEDEN-2,1993-05-14,"Landskrona, Sweden",SWE,28518.0,2011-06-25,58,2011,13,Rasmus,74.0,Bengtsson,,59,29,8476420.0,Rasmus Bengtsson,D,N,,2,L,N,SJS-FLA,FLA,192.0
14873,6513.0,304.0,17.0,Wayzata,HIGH-MN,1993-08-25,"Fairbanks, AK  USA",USA,14728.0,2011-06-25,58,2011,30,Mario,75.0,Lucia,,60,30,8476385.0,Mario Lucia,LW,N,,2,L,N,VAN-MIN,MIN,200.0
14874,6795.0,221.0,18.0,Ottawa,OHL,1992-11-16,"Rochester, NY  USA",USA,20018.0,2011-06-25,58,2011,9,Shane,70.0,Prince,,61,31,8476386.0,Shane Prince,C,N,,2,L,N,OTT,OTT,181.0
